Protein	Description	PSM_G1	Uniq_Pept_G1	S1	S2	S3	S4	S5	S6	S7	S8	P2	PSM_G2	Uniq_Pept_G2	S9	S10	S11	S12	S13	S14	S15	S16	P4	PSM_G3	Uniq_Pept_G3	S17	S18	S19	S20	S21	S22	S23	S24	P6	Total_PSM	Gene Length	Amino_Acid_Length	SAF_G1	SAF_G2	SAF_G3	NSAF_G1	NSAF_G2	NSAF_G3	Avg_TT4	Avg_TS4	Avg_AT4	Avg_AS1	Avg_SASA1	Avg_ASA1	Avg_SAS1	Avg_POOLED
PA2453	gi|15597649| hypothetical protein	30.0	3.0	0.21244658654528248	0.2678018283738671	0.2480517584494097	0.22166777391570203	0.26516963444137664	0.2700229425658975	0.4204057324656289	0.4083573344438491	0.4190008302214197	21.0	1.0	0.27468878267792723	0.2911769472173345	0.28938572468626406	0.30522420342004875	0.28200692824383733	0.2785993895462038	0.224315846727854	0.2555051994493775	0.2628884999698168	41.0	3.0	0.611044528272553	0.5408305078917871	0.5735386020218042	0.553616707736745	0.6190065132173506	0.5775909410618016	0.7706149403833555	0.7654697411314827	0.5522129310156932	92.0	222	74.0	0.40540540540540543	0.28378378378378377	0.5540540540540541	0.0005224460597676451	0.0006031928009606861	0.0007118411884422494	0.2427667244561864	0.25228678364099205	0.36781728319580176	0.2952622917745491	0.261640721505965	0.4691267452045726	0.5820539409919666	0.7045585408588799
PA2450	gi|15597646| hypothetical protein	4.0	2.0	0.017127877980939257	0.01621028745649351	0.01766007638584159	0.016287054511526105	0.018118289759288125	0.020350159282340817	0.012690182188219634	0.014755066164562588	0.014497842823507082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	918	306.0	0.013071895424836602	0.0	0.0	1.684575530405479e-05	0.0	0.0	0.016999413941091453	0.01825183451771835	0.009148416117594075	0.0	0.0	0.0	0.0	0.0
PA2449	gi|15597645| GcsR	1.0	1.0	0.0015192500081165142	0.0017576694237370074	0.0018228020416343536	0.0015868708825690118	0.0017874173457887359	0.0019208437799006206	0.0013323120227612404	0.0019220429482989636	0.002247039650371433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0016894521754462022	0.0014657272492300186	0.002139397755938516	0.00181130239458006	0.002281384491048616	0.0017893465495269567	0.0021565356384575744	0.001996626645441569	0.0017414906134641675	2.0	1536	512.0	0.001953125	0.0	0.001953125	2.516992735859749e-06	0.0	2.5093487016352156e-06	0.0016999071578292918	0.0017650440027527894	0.0010847849903534012	0.0	0.0	0.0010517264748920736	0.0020773615471890642	0.0019808362778087
PA2448	gi|15597644| putative hydrolase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0016015013629825147	0.001318148682706166	0.0016118978735465645	0.0015544857976107806	0.0017188225676694527	0.0021265832860269834	0.00203195738869379	0.0020150082308938513	0.0018710212953998663	1.0	1743	581.0	0.0	0.0	0.0017211703958691911	0.0	0.0	2.2113365494616705e-06	0.0	0.0	0.0	0.0	0.0	0.0009732166818962268	0.0016284020796089327	0.002057849635204875
PA2446	gi|15597642| glycine cleavage system protein H2	63.0	3.0	0.6695372423965337	0.613039689587318	0.812153307757579	0.6886257786736595	0.6336043361989887	0.7303359916667045	0.633643679909422	0.7253037102093237	0.5303416033253239	4.0	1.0	0.03244967752809525	0.025969866210049264	0.027735476546234074	0.024641323506300505	0.024328060547257366	0.02171696736347777	0.016347212426692913	0.018510999414458648	0.033043749208666866	24.0	2.0	0.09799469099301356	0.05753081347572098	0.08178734011075545	0.08893550813814759	0.1025378532338416	0.23173918775985808	0.08604514795173422	0.09321193534641731	0.18376710408097283	91.0	384	128.0	0.4921875	0.03125	0.1875	0.0006342821694366567	6.642301677245651e-05	0.00024089747535698073	0.6982434132471435	0.6841887021797842	0.46379902254894706	0.02611555542086128	0.02079741344580935	0.0580121679610644	0.09108690049424821	0.13699875701933653
PA2445	gi|15597641| glycine cleavage system protein P2	671.0	44.0	0.9287979504126377	0.9754297676726724	1.0331522364850507	1.0012371899107162	0.9776878033677605	1.103862903616092	0.8330126594374384	0.8984961906396097	0.6845371910253975	64.0	10.0	0.049519566258045086	0.0392474059028299	0.04169241421641931	0.04132414553453863	0.03689220597014177	0.03231884844311143	0.02001026532005737	0.022058911119331125	0.05061099957754473	210.0	34.0	0.11715325138892584	0.0750424890538837	0.09903677886094694	0.10789855613810023	0.13261642759449796	0.30317965374433686	0.1304868681768527	0.13706416989685044	0.21510293654870966	945.0	2880	960.0	0.6989583333333333	0.06666666666666667	0.21875	0.000900747800406342	0.00014170243578124055	0.0002810470545831442	0.9791266515234535	1.027595965631523	0.5936761387783643	0.04075465521792928	0.029740439911103523	0.07141821718738021	0.11318392086451505	0.1902435639393467
PA2444	gi|15597640| serine hydroxymethyltransferase	77.0	5.0	0.2321223018449918	0.23358249346168145	0.26304868361105166	0.24323125961873232	0.23447265073069012	0.26358423302608525	0.19300166460384402	0.19181074968129175	0.18409576454360482	25.0	2.0	0.05800654094193237	0.050086707293006745	0.0501968703018347	0.05009938245727228	0.04896519227586307	0.04607862161819165	0.030041781477301428	0.03918053492251267	0.05511907740797793	70.0	5.0	0.13866092845446726	0.1016882870702809	0.13037595847597938	0.1275917467529168	0.12973992102635132	0.1988161865471584	0.1721709384812284	0.1571832308908796	0.15906424969695432	172.0	1257	419.0	0.18377088305489261	0.059665871121718374	0.16706443914081145	0.0002368255885883884	0.0001268219890643561	0.0002146421419250743	0.2429178263059083	0.2470960477918359	0.14760631840902272	0.05012765335070457	0.04169519845711872	0.09317658348242026	0.12923587541841583	0.17605678530642213
PA2443	gi|15597639| L-serine dehydratase	27.0	10.0	0.06375476750407987	0.06720610562905985	0.0723728037531973	0.06507420944392565	0.06706674061083315	0.07226391388325776	0.06558050193293884	0.06905199333037729	0.057912405214483716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.001983586941892122	0.001796698387521579	0.002315877273726124	0.0021580683626065593	0.0024829082043035483	0.003271429995754668	0.0026680355662983906	0.0024167130993242403	0.0025456656664211087	28.0	1377	459.0	0.058823529411764705	0.0	0.002178649237472767	7.580589886824654e-05	0.0	2.7990992053098705e-06	0.06777789229544566	0.06813495464600551	0.04487749842110537	0.0	0.0	0.0012600951098045668	0.002318951280212077	0.0027853928871257663
PA2442	gi|15597638| glycine cleavage system protein T2	218.0	18.0	0.7531714151139687	0.7585077517690505	0.8601955159824611	0.7888194657778902	0.7842623648425653	0.870206283644649	0.6453871973198959	0.7214968250698932	0.5581179344248309	52.0	4.0	0.07847853603747178	0.055120611928186736	0.053265579677435775	0.05142234658536441	0.049731373327581596	0.04213316524105405	0.02699135130393988	0.032169808530374225	0.07980431131811279	110.0	13.0	0.17088700971213922	0.13289439231831476	0.16556592226462574	0.1726433910722831	0.20763541035886854	0.40235637236119914	0.18881595087887643	0.19347553832792422	0.29047711494421097	380.0	1122	374.0	0.5828877005347594	0.13903743315508021	0.29411764705882354	0.0007511675433308067	0.0002955291441426942	0.0003778783927168325	0.7906248942884934	0.8144293714217015	0.48178751947575366	0.053269512730328976	0.03961862995752518	0.1119837368536094	0.1819482412319258	0.2615492871893333
PA2436	gi|15597632| hypothetical protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.006630208635672456	0.004612009493257233	0.005383636711026426	0.006390535328521792	0.006183697741425232	0.008883646633684843	0.010520847316046866	0.01067853576132737	0.008124517939354989	1.0	435	145.0	0.0	0.0	0.006896551724137931	0.0	0.0	8.86059679473952e-06	0.0	0.0	0.0	0.0	0.0	0.003747406042976563	0.005985956593657817	0.010027676570353026
