Protein	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	P2	P4	P6	total_PSM	Avg_TT4	sd_TT4	Avg_TS4	sd_TS4	Avg_AT4	sd_AT4	Avg_AS1	sd_AS1	Avg_SASA1	sd_SASA1	Avg_ASA1	sd_ASA1	Avg_SAS1	sd_SAS1	Avg_SS1	sd_SS1	Avg_Pooled	sd_Pooled
PA2623	-0.26085006769309	-0.06641280931519	-0.180405623994832	-0.258780150813103	-0.020604918911078	-0.034545876446647	0.021775676830043	0.237428065668778	-0.361730102364347	-0.276868489073046	-0.144131978544703	-0.075918208241814	-0.53279014959178	-0.519483404735221	-0.471366432688145	-0.550687731534174	-0.318914602184718	-0.25403566660139	-0.329420651433655	-0.327524815995728	-0.18661188216621	0.08991443368584	0.226264556395658	0.304453160436483	0.023967561749407	-0.378970477681488	-0.010231145925619	4575	-0.507668501003112	0.065813782240974	-0.313930946170827	0.133667997409778	-0.102526359865527	0.303472444056062	-0.496918675859563	0.102187014057827	-1.52363998701515	0.032314046109792	-1.12363800032028	0.155954324189141	-0.843557349595593	0.081908886058567	0.620632150517981	0.108575380144106	-0.365234061857701	0.223419377707343
PA1787	0.104762088336838	0.17529444194259	0.162003520498382	0.159707034486863	0.256026924995489	0.234733533789647	-0.166579814013028	0.077394841557769	-0.045369756853221	-0.103831176734437	0.002819617491991	-0.000713652057455	-0.208121046684641	-0.204124069966327	-0.444077311775487	-0.334989668758522	-0.254184867564247	-0.431560309340093	-0.222940489595289	-0.312397376257228	-0.378780725461855	0.232663781289319	0.008572934475203	0.129688766454985	0.010572242639799	-0.097679036275626	-0.026648987307431	4494	0.44206005077781	0.007673517073592	0.650467493271998	0.050596286777901	-0.13455472930848	0.121988153209362	-0.101725211299902	0.060580662203854	-0.856322428426454	0.13739777600895	-1.02073484566286	0.088804421683793	-0.914118591314372	0.078204286687514	0.370925482219507	0.112167736049004	-0.113755780943258	0.054998526043937
PA1777	-0.027984895638798	0.061545134779635	0.108873854425885	0.007617420722085	0.131208755989393	0.066236263905225	0.080153734287381	0.068293405957788	0.300505617790223	0.156230202076803	0.167345214955928	0.436775884672784	0.288111777221565	0.133233976722247	-0.293735955924727	0.189629561569501	-0.144519363483197	-0.399729981358425	-0.617484101130889	-0.477550494294863	-0.217232117202186	0.008680512594882	-0.017727171212348	0.028559421819542	-0.012235374575738	0.301419160152548	-0.094254003129319	4177	0.142434093566723	0.027325249028163	0.205062440616703	0.061822880954267	0.448952758035392	0.130778522239859	0.760351301705515	0.158861737221723	0.127609798019085	0.301340682351263	-0.354619783272121	0.295559535579084	-1.31226671262794	0.203120950180415	0.019512763202076	0.023219910603204	0.194929782447491	0.208831461042514
PA3655	-0.051427720183806	-0.059088912333873	-0.027465887559567	0.025337953422835	0.00326830627348	-0.096021613834076	0.03883853637803	-0.002455843041611	-0.028969279094525	-0.066258018484546	-0.096465751663877	-0.133902984043097	0.12128985048996	0.053390991502425	-0.185175970267088	0.092112623166014	0.051293295563889	-0.056201895304567	0.059550186467354	0.002809741255842	-0.02086184228491	0.074977259468578	-0.003641990129922	-0.070663702109602	0.016788570043164	-0.043638132232152	-0.009418870971061	4176	-0.137982520077245	0.018257561866036	-0.067415354137761	0.064644801447405	0.007413414241894	0.034171352285566	-0.29662675419152	0.033886808833397	-0.010495128274703	0.160958457162108	0.087204023425337	0.0766144350573	0.041498085438287	0.041323754988671	0.000671567229054	0.072897400472097	-0.036268433160049	0.030301744046723
PA3162	0.015416413927574	0.006988004589584	0.026022619470328	0.038673594849471	0.060235425306112	-0.009883015939251	-0.133091347352876	-0.111117052150751	0.140676562700261	0.107282784982863	0.082183317813711	0.09115206573831	0.199453325437002	0.138814170143604	-0.087387472709891	0.014727819620661	0.031340357461826	-0.134065589025433	0.060703265364639	0.029764671408458	0.038088813222004	0.202951355285252	0.085439458581303	-0.000209225692635	0.004154743758112	0.094381615852474	-0.000462101131712	4134	0.048427037987486	0.010989640025318	0.089026004216333	0.035914836271862	-0.103531836803366	0.152113862344535	0.280618168534884	0.012718895358593	0.250880022870714	0.151174255891374	-0.087997411942947	0.091081082927424	0.128556749995101	0.01600989995091	0.28818158817392	0.101995886067437	0.098074258478874	0.053475125613138
PA5556	0.127766664998645	0.158958829260136	0.172822106273378	0.121776800672832	0.021038507119252	0.154064305610801	-0.089720694841295	-0.088778640113571	0.080288861075468	0.061473722933132	0.08969862701016	0.131674694501596	0.078278746499495	-0.033478045808455	-0.506678346249993	-0.194081997796986	-0.099830813839042	-0.343636159438461	-0.164060661086325	-0.161437368671441	-0.047370367583048	0.149342455979916	0.078161667946447	0.086041089970639	-0.002166717235518	0.069581335529418	-0.006245495578804	4002	0.459547600532159	0.008003966715446	0.296879613402884	0.069386057470168	-0.098210473879398	0.097884248416545	0.282847044444887	0.035324240641424	-0.461877645558953	0.310532581576356	-0.637548971074488	0.122943604608381	-0.372868397340814	0.066626805164131	0.313545213897002	0.039021047344438	0.061169122715096	0.042649985979381
PA4386	-0.274643428335581	-0.257567263438345	-0.303601313442221	-0.340058628357072	-0.446103775271652	-0.392168440578451	0.035702587691336	-0.022243640563077	0.229414459873368	0.022812038207642	-0.001448070192288	-0.097194232943863	0.279970746172304	0.560296183321245	1.20378941059667	0.713978190033446	0.180495769254774	0.586534868928284	0.437142678036667	0.408743440727294	0.16942875839985	-0.21275419609466	-0.2660523686474	-0.534614880129217	0.234132567324541	0.219398245054232	0.027998380807536	3661	-0.835812005216147	0.026577771161626	-1.17833084420718	0.053025192192564	0.242873407001627	0.131791409879691	-0.075830264928509	0.0634525881491	2.04405634009022	0.473657191261236	1.4810088282165	0.278601580468674	1.01531487716381	0.147053718430005	-1.01342144487128	0.172511264220667	0.481529193186308	0.114994428225491
PA4271	0.075132393254464	0.03157825596605	0.067477577835626	0.043671827527574	0.076087939979909	-0.08930113699188	0.059201299459179	-0.000159865096515	0.210272703393289	0.178768186053514	0.139966006356758	0.08203776004849	0.240244006966701	0.219395659365993	0.01591964477321	0.186912959243987	-0.068229245485414	-0.243653305748517	-0.010010261336952	-0.113112902952645	-0.130837355414987	0.080969777883704	-0.004304363223557	-0.095069398291097	0.047581005676743	0.198562659067406	-0.039278279676218	3524	0.17418822705614	0.020726483145125	0.030458630515604	0.087641466994031	0.269314137755953	0.108495916071564	0.400771952458763	0.048679335425285	0.475559311105904	0.12393449989528	-0.124969591989944	0.216509604907406	-0.253960519704584	0.065247602237638	-0.01840398363095	0.088033859282187	0.206865385067931	0.12035247349283
PA3656	0.115860778965515	0.136107699994738	0.221598923132177	0.183946251905726	0.222048740962196	0.168038619637076	-0.089128277339169	-0.093844185683182	0.130082060433228	-0.039649625763679	-0.046226254613298	-0.055781881625712	0.173081808581405	0.11395020099286	-0.035920419287299	-0.021740675804835	-0.000751915425624	-0.069630620434069	0.040830461825388	0.019277731612614	-0.001749176418078	0.023267292875322	-0.069760343292481	-0.078110586091827	0.008835883846118	0.040874849543408	0.03600464254271	3425	0.473567402092431	0.049358380691751	0.574033612504997	0.027754716242611	-0.052890402589123	0.127944242854446	-0.141657762002689	0.008111840459314	0.251111590286966	0.107733994242955	-0.092123211664528	0.035304038632257	0.058359017019924	0.021290360236111	-0.124603636508986	0.056275130667189	0.085715375932235	0.017264393455392
PA1588	-0.119767415380067	-0.205451162150196	-0.176319533605101	-0.107503282034692	-0.054800954751558	-0.0945873702733	-0.076214066645988	-0.026182016925123	0.023435417409746	-0.001172285359441	0.031664722027501	0.081330650350041	0.068903853212347	0.031983502226053	-0.010650128313659	-0.063120922567628	-0.039712094726827	-0.108584802676794	-0.025060716661862	-0.004321086934011	0.0313861370978	0.138516221796344	0.151838475525052	0.106391672609368	-0.030413520676023	-0.024439085492175	0.002827540683005	3285	-0.501538111135363	0.016819153582443	-0.25689160705955	0.027469118835993	-0.078960666161366	0.049824885786489	0.111823087018101	0.041536545938392	0.090237227124741	0.039811168337934	-0.211417819971248	0.035019964581703	0.002004333501927	0.0285522485649	0.396746369930765	0.023362651819145	-0.052025065485193	0.017720660912325
